,Decibel,Island,Lat,Lon,Model,Name,POINT_X,POINT_Y,Range_ft,Siren,Solar,OBJECTID,GlobalID
15,124,Maui,20.8890794553,-156.479323791,EOWS612,Maui Community College,1704365.29870191,201893.08904541,4800 Feet,MA117,NO,19,2ce372e2-4303-43e6-99f4-16e5d66234d4
16,115,Maui,20.9301099642,-156.510568902,EOWS1212,Waihee Ball Park,1693719.59492775,216813.36727566,3400 Feet,MA118,NO,20,8a5b88db-a6ae-4eab-b904-45482686ae8e
17,115,Maui,20.8394952405,-156.341596549,MOD3012,Pukalani Terrace,1751415.88865566,183953.33785149,2200 Feet,MA119,YES,21,7e2a4d57-5233-41a2-a638-b9a46816aa3d
18,121,Maui,20.9963282431,-156.550825653,DSA6(2),Kahakuloa Village,1679958.21070516,240882.87917591,3400 Feet,MA120,YES,22,567eb27c-2cd8-45bc-89a0-de31ae085984
19,124,Maui,20.6916226249,-156.443624532,EOWS612,Wailea I - Ulua Beach Park,1716655.70194258,130179.83680291,4800 Feet,MA121,NO,23,a4af294e-b213-4c05-a727-a11224cdb7bf
20,115,Maui,20.6812043921,-156.44092077,EOWS1212,Wailea II,1717587.74633833,126396.42475032,2200 Feet,MA122,NO,24,7c02b2d7-3ca4-49bb-bfda-19bd41581ef2
21,115,Maui,20.8502525911,-156.315932346,EOWS1212,Makawao - Eddie Tam Park,1760186.26842458,187870.30442699,2200 Feet,MA123,NO,25,bff4dc3a-6785-4581-bc43-0614aa702b64
22,124,Maui,20.9015296361,-156.434462721,EOWS612,Kanaha Beach Park,1717569.63318558,205596.29620591,4800 Feet,MA124,YES,26,ac1ed04f-4964-4d58-986d-bb70171b7676
23,115,Maui,20.6596736316,-156.440106091,EOWS1212,Makena Surf,1717852.91772399,118589.13623107,2200 Feet,MA125,YES,27,a2cd39d0-2b2b-42a1-b2e6-cea86e8b0034
24,121,Maui,20.7558917266,-156.328833342,MOD6024,Upper Kula,1755855.46409408,153596.29259457,2400 Feet,MA126,YES,28,ca28d837-e0eb-40cf-a1e1-3ff7ecab61e7
25,121,Maui,20.8542792149,-156.502929979,DSA6/4,Waikapu,1696323.82561166,189265.46994374,3400 Feet,MA127,YES,29,a596fbb3-4ac3-49f6-9c70-963f03a7a0d6
26,115,Maui,20.9014940438,-156.370374176,MOD3012,Upper Paia - Skill Village,1741544.04061725,206460.82958183,2200 Feet,MA128,YES,30,cd513e4c-a836-4712-8871-c71841c9b9b4
27,115,Maui,20.7639462428,-156.458439198,MOD3012,Kalepolepo Beach park,1711554.11404866,156447.30821799,2200 Feet,MA129,YES,31,0fad5922-d78d-4914-901d-4d068ecbdffe
28,117,Maui,20.7114938041,-156.445212501,DSA4(3),Kamaole III,1716096.76474025,137401.13699283,2600 Feet,MA130,YES,32,7a69aa69-85b3-4b83-938f-d26a4b15f0be
29,121,Maui,20.9286646882,-156.319902351,DSA6(2),Haiku,1758758.25028324,216355.07521324,3400 Feet,MA131,YES,33,63785e5a-4c0e-4963-9f3a-5307c6827e3c
30,121,Maui,20.7847975635,-156.464933503,DSA6/6/4,Sugar Beach,1709323.49416608,164018.3498344,3400 Feet,MA132,YES,34,c2f89aef-04d2-4ab5-bf75-c002165149fa
